gene,log2FC,p_adj,category
ATAD5,2.097528169724879,2.7201633256768517e-21,Upregulated
CHAF1B,2.2860972939827446,2.7698589514346745e-21,Upregulated
C10orf67,-3.9032876301413832,2.801060108426219e-21,Downregulated
C1orf112,1.9586499842906544,2.8508396076263134e-21,Upregulated
WFS1,-2.2158819521698945,2.8924536500947426e-21,Downregulated
FGF11,3.944118507811014,2.9605852088797157e-21,Upregulated
ASF1B,3.078030069039981,3.074968959332787e-21,Upregulated
SGCA,-3.3870840321833224,3.139650695304724e-21,Downregulated
CDT1,3.456919040937242,3.2276444701877447e-21,Upregulated
IL6ST,-1.912158529015528,3.270922129107626e-21,Downregulated
IGFALS,-3.456361935112906,3.3460891064376007e-21,Downregulated
SECISBP2L,-2.120780500216224,3.3460891064376007e-21,Downregulated
ATOH8,-4.761319521157251,3.3460891064376007e-21,Downregulated
SLC1A1,-3.964326555424365,3.506410791667788e-21,Downregulated
NUSAP1,3.3686424894370264,3.623770052863333e-21,Upregulated
SEC22C,-1.2674535437258765,3.6499030413876825e-21,Downregulated
RHOJ,-2.743135117827076,3.699982375253907e-21,Downregulated
NKAPL,-2.3239995055163742,3.707202530646052e-21,Downregulated
SACM1L,-1.1562712614402262,3.757332257291654e-21,Downregulated
FAM72D,3.098115690199766,3.765015448316714e-21,Upregulated
HLA-E,-1.9401960495119488,3.80571304447387e-21,Downregulated
IQGAP3,3.5682014698750253,3.80571304447387e-21,Upregulated
PBK,4.0292984077507255,3.9425419617048964e-21,Upregulated
MYBPHL,-3.817014628383979,4.0141773038776884e-21,Downregulated
SHMT2,1.663922082951144,4.0182001844336425e-21,Upregulated
TONSL,2.3474422636710166,4.0629599044343776e-21,Upregulated
GLIPR2,-2.7058844791736902,4.098934746294208e-21,Downregulated
CENPH,2.112162687206693,4.279201613472614e-21,Upregulated
SIGLEC11,-3.538405212137331,4.313166930655238e-21,Downregulated
PCDH12,-2.682340462383091,4.319165393519847e-21,Downregulated
TMEM243,-1.9607841855107893,4.319165393519847e-21,Downregulated
NOTCH4,-2.338235357877477,4.38813130814824e-21,Downregulated
ACOXL,-4.110198568119069,4.404128092512536e-21,Downregulated
LIMCH1,-3.5995994532758324,4.438386888072644e-21,Downregulated
FAM64A,3.865371534794316,4.5731540811077634e-21,Upregulated
HBB,-5.238623754881283,4.6018110207541186e-21,Downregulated
STIL,2.7809643153586965,4.6983317591387216e-21,Upregulated
